region,temp,rain,area,crop,prod,price
1,32,735,30,1,69,15243066
1,33,776,16,1,36.8,8577233.6
1,35,769,36,1,82.8,20268860.4
1,33,818,42,1,96.6,20144287.8
1,33,753,37,1,85.1,20902432.2
1,34,802,34,1,78.2,17812239.6
1,34,788,18,1,41.4,8603665.2
1,35,748,50,1,115,24744550
1,32,758,27,1,62.1,13201404.3
1,34,723,10,1,23,5188432
2,33,1018,9,1,18.9,4409143.2
2,30,978,12,1,25.2,5766868.8
2,31,979,33,1,69.3,17315367.3
2,31,1036,44,1,92.4,21375908.4
2,32,1005,13,1,27.3,5807256
2,30,1023,7,1,14.7,3164204.4
2,30,987,5,1,10.5,2465988
2,31,985,25,1,52.5,12459142.5
2,32,974,17,1,35.7,8270761.8
2,33,976,25,1,52.5,11782522.5
3,28,1309,6,1,13.2,2732320.8
3,29,1227,10,1,22,5408986
3,30,1285,14,1,30.8,7037122.4
3,33,1283,32,1,70.4,16070278.4
3,32,1218,41,1,90.2,18918908.8
3,29,1307,19,1,41.8,8790080.2
3,30,1299,25,1,55,12697300
3,32,1283,40,1,88,21850048
3,31,1318,21,1,46.2,10592274
3,29,1260,35,1,77,16679432
4,28,1919,2,1,2.4,627057.6
4,27,2214,37,1,44.4,11776789.2
4,29,2085,44,1,52.8,14495289.6
4,30,2075,15,1,18,4778298
4,31,1989,9,1,10.8,2836706.4
4,27,2003,30,1,36,9418536
4,27,2171,29,1,34.8,9452306.4
4,28,1983,49,1,58.8,16460707.2
4,29,2124,47,1,56.4,15039962.4
4,30,2068,49,1,58.8,15613516.8
5,28,2482,12,1,13.2,3643741.2
5,27,2424,31,1,34.1,9377193.1
5,28,2434,11,1,12.1,3202083.5
5,26,2427,17,1,18.7,5112449.1
5,28,2504,48,1,52.8,14564985.6
5,29,2542,32,1,35.2,9418604.8
5,27,2523,27,1,29.7,8075667.6
5,29,2569,34,1,37.4,9940172
5,26,2537,16,1,17.6,4768420.8
5,28,2534,34,1,37.4,9942603
6,29,1611,29,1,26.1,7225158.6
6,26,1554,45,1,40.5,11322504
6,27,1489,45,1,40.5,10611648
6,28,1616,39,1,35.1,9498867.3
6,26,1507,35,1,31.5,8429715
6,29,1549,13,1,11.7,3233739.6
6,28,1541,32,1,28.8,7540876.8
6,27,1502,25,1,22.5,6219652.5
6,26,1483,14,1,12.6,3486861
6,28,1459,48,1,43.2,11550945.6
1,32,735,30,2,60,21800040
1,33,776,16,2,64,22899904
1,35,769,36,2,72,24855984
1,33,818,42,2,126,43146054
1,33,753,37,2,111,38779404
1,34,802,34,2,136,49535144
1,34,788,18,2,72,25933032
1,35,748,50,2,150,54022800
1,32,758,27,2,81,28045602
1,34,723,10,2,30,10726350
2,33,1018,9,2,27,9774108
2,30,978,12,2,24,8474328
2,31,979,33,2,99,34416360
2,31,1036,44,2,44,15704304
2,32,1005,13,2,26,8883030
2,30,1023,7,2,14,4983846
2,30,987,5,2,10,3515600
2,31,985,25,2,25,8887650
2,32,974,17,2,51,18426402
2,33,976,25,2,25,8626300
3,28,1309,6,2,36,12122532
3,29,1227,10,2,80,25019840
3,30,1285,14,2,98,31646062
3,33,1283,32,2,256,79220224
3,32,1218,41,2,287,90195777
3,29,1307,19,2,152,49927288
3,30,1299,25,2,175,55281275
3,32,1283,40,2,240,73884960
3,31,1318,21,2,126,41858964
3,29,1260,35,2,245,79778370
4,28,1919,2,2,12,3923916
4,27,2214,37,2,296,93906296
4,29,2085,44,2,308,94292660
4,30,2075,15,2,90,27819630
4,31,1989,9,2,72,22886640
4,27,2003,30,2,210,66880590
4,27,2171,29,2,174,57252264
4,28,1983,49,2,392,130264736
4,29,2124,47,2,329,103118470
4,30,2068,49,2,343,111286693
5,28,2482,12,2,84,25870740
5,27,2424,31,2,186,60412242
5,28,2434,11,2,88,29025040
5,26,2427,17,2,136,42907048
5,28,2504,48,2,336,103842144
5,29,2542,32,2,192,60475008
5,27,2523,27,2,162,51454926
5,29,2569,34,2,272,90126112
5,26,2537,16,2,96,31531392
5,28,2534,34,2,204,64989096
6,29,1611,29,2,203,63798840
6,26,1554,45,2,360,117440640
6,27,1489,45,2,270,86643000
6,28,1616,39,2,234,76630788
6,26,1507,35,2,210,69905430
6,29,1549,13,2,104,34601944
6,28,1541,32,2,256,85108480
6,27,1502,25,2,175,57332275
6,26,1483,14,2,112,34724592
6,28,1459,48,2,288,88586496
1,32,735,30,3,39,26598
1,33,776,16,3,20.8,17430.4
1,35,769,36,3,46.8,36082.8
1,33,818,42,3,54.6,50341.2
1,33,753,37,3,48.1,44684.9
1,34,802,34,3,44.2,40133.6
1,34,788,18,3,23.4,21925.8
1,35,748,50,3,65,61230
1,32,758,27,3,35.1,25272
1,34,723,10,3,13,12818
